log_id,product_type,units_produced,defective_units,time_stamp,MachineName,remarks,operator_id,batch_info
831bdeda-388c-4f30-b287-2b0da3e284ec,Turbine Hub,96,5,2024-10-01 10:05:00,Turbine-500,Minor delays due to raw material shortage.,OP17,Batch-Turbine-500-20241001-001
41274f57-82a0-4a4a-b355-15788cdf9744,Polished Surface,87,4,2024-10-01 11:59:00,Grinder-800,Normal operations with no issues.,OP14,Batch-Grinder-800-20241001-001
7a943af7-dc35-4e78-84b8-ea08e2e80980,Drill Bit,137,8,2024-10-01 21:49:00,DrillPress-100,Slight quality concerns noted.,OP20,Batch-DrillPress-100-20241001-001
5365b96b-62e9-4703-bee8-2dc0e8cd04f8,Drill Bit,135,7,2024-10-01 05:27:00,DrillPress-100,Normal operations with no issues.,OP10,Batch-DrillPress-100-20241001-002
e49c5179-038f-40f2-8aeb-8ab5c97735af,Motor Shaft,122,6,2024-10-01 04:18:00,CNC-Mill-200,Slight quality concerns noted.,OP10,Batch-CNC-Mill-200-20241001-001
87945cda-6751-4094-8698-3aeed2b7d26c,Bolt,90,4,2024-10-01 20:39:00,Lathe-300,Line halted briefly for safety check.,OP17,Batch-Lathe-300-20241001-001
7f1f6f93-0c61-4c69-a46d-e7ed14fecaeb,3D Printed Part,54,2,2024-10-01 02:37:00,3DPrinter-1000,Line halted briefly for safety check.,OP20,Batch-3DPrinter-1000-20241001-001
7ed93343-b93d-4b52-9d95-89891f9e6b08,Conveyor Belt,87,4,2024-10-01 09:30:00,Conveyor-400,Normal operations with no issues.,OP18,Batch-Conveyor-400-20241001-001
66c6ca2e-9e39-446d-a1c0-928efab20849,Cut Metal,80,4,2024-10-01 13:12:00,LaserCutter-900,Batch production exceeded target.,OP17,Batch-LaserCutter-900-20241001-001
b5c11b75-3874-43a5-92f1-dd10ef69d698,Prototype Model,53,2,2024-10-01 07:19:00,unknown,,OP11,Batch-3DPrinter-1000-20241001-002
92e300ae-4d1e-4602-8471-36a727549bc1,Bolt,90,4,2024-10-01 15:25:00,Lathe-300,Adjusted machine settings mid-shift.,OP20,Batch-Lathe-300-20241001-002
2c1a34d8-94af-47fe-91ed-3ccd9c626cfa,Actuator,95,5,2024-10-01 10:54:00,RobotArm-600,Line halted briefly for safety check.,OP14,Batch-RobotArm-600-20241001-001
ba921764-23f8-4609-9c76-5c95190ce3b0,Nut,93,4,2024-10-01 05:22:00,Lathe-300,Minor delays due to raw material shortage.,OP12,Batch-Lathe-300-20241001-003
22823a44-c3f8-45d8-a221-f709b1c3ebd1,Polished Surface,88,4,2024-10-01 08:04:00,Grinder-800,Line halted briefly for safety check.,OP17,Batch-Grinder-800-20241001-002
f7c04f3c-ac62-4d5f-b116-18408023bd11,Bolt,70,3,2024-10-01 18:49:00,Lathe-300,Normal operations with no issues.,OP17,Batch-Lathe-300-20241001-004
e6b23903-3f4d-4430-9900-f9a8e5a51963,Metal Panel,135,9,2024-10-01 17:56:00,Press-700,Line halted briefly for safety check.,OP20,Batch-Press-700-20241001-001
8bd3bed8-5297-4322-85cc-0dfdc2af0d23,Metal Chip,97,4,2024-10-01 02:31:00,Grinder-800,Adjusted machine settings mid-shift.,OP18,Batch-Grinder-800-20241001-003
10b8c623-fe7b-46b4-bfb3-209b737ab7b3,3D Printed Part,42,2,2024-10-01 21:50:00,3DPrinter-1000,Adjusted machine settings mid-shift.,OP10,Batch-3DPrinter-1000-20241001-003
2b514b1f-c0e3-4331-891a-a6d1cca47799,Cut Metal,83,4,2024-10-01 04:14:00,LaserCutter-900,Line halted briefly for safety check.,OP13,Batch-LaserCutter-900-20241001-002
e0d205cb-e02e-453f-9c1e-b0be71c78e2e,Cut Plastic,71,3,2024-10-01 11:48:00,LaserCutter-900,Batch production exceeded target.,OP18,Batch-LaserCutter-900-20241001-003
a3ed006c-879d-4074-b35b-9492fe8d8b6e,Bolt,83,4,2024-10-01 09:22:00,Lathe-300,Production ran smoothly.,OP18,Batch-Lathe-300-20241001-005
88176103-e867-4a34-b95a-7bcc1cb27458,Bolt,98,4,2024-10-01 21:52:00,Lathe-300,Batch production exceeded target.,OP19,Batch-Lathe-300-20241001-006
6576d093-c21c-44f8-b6eb-74c530cde3bd,Actuator,93,5,2024-10-01 20:39:00,RobotArm-600,Production ran smoothly.,OP11,Batch-RobotArm-600-20241001-002
976a9dc7-4cf4-4794-bf02-6973e49486a1,Prototype Model,44,2,2024-10-01 01:33:00,3DPrinter-1000,Normal operations with no issues.,OP19,Batch-3DPrinter-1000-20241001-004
4ac28bd9-4df0-42c7-b49b-423d057ad8f9,Drill Head,137,8,2024-10-01 21:48:00,DrillPress-100,Batch production exceeded target.,OP14,Batch-DrillPress-100-20241001-003
7950e85a-f991-45ef-b33b-56f544cbad27,Conveyor Belt,106,5,2024-10-01 16:29:00,Conveyor-400,Batch production exceeded target.,OP10,Batch-Conveyor-400-20241001-002
2315bd6d-321e-4c86-9aaa-f9783916201b,Metal Chip,94,4,2024-10-01 05:23:00,Grinder-800,Line halted briefly for safety check.,OP19,Batch-Grinder-800-20241001-004
